Date,Open,High,Low,Close,Volume
06/13/2025,"90.60","91.00","90.05","90.40","57,651"
06/12/2025,"92.10","92.90","91.55","92.40","40,874"
06/11/2025,"94.90","95.00","93.05","93.20","45,588"
06/10/2025,"93.40","94.40","92.60","94.20","47,492"
06/09/2025,"93.00","93.35","92.50","92.90","47,564"
06/06/2025,"94.00","94.55","93.10","93.20","46,945"
06/05/2025,"95.20","95.60","93.50","94.70","57,846"
06/04/2025,"95.90","96.25","94.60","95.05","39,672"
06/03/2025,"94.90","95.90","93.65","95.85","80,792"
06/02/2025,"96.05","96.15","94.65","94.90","66,972"
05/30/2025,"97.25","98.45","96.85","97.00","32,716"
05/29/2025,"99.70","99.90","97.25","97.60","51,043"
05/28/2025,"96.90","99.95","96.90","98.20","84,792"
05/27/2025,"97.15","98.10","96.90","96.90","43,399"
05/26/2025,"97.60","98.00","96.35","97.15","48,885"
05/23/2025,"97.75","99.00","94.15","95.70","97,415"
05/22/2025,"99.00","99.45","97.55","98.20","71,762"
05/21/2025,"100.20","100.30","99.30","99.90","85,339"
05/20/2025,"99.50","101.00","99.05","100.50","64,951"
05/19/2025,"98.35","100.60","98.25","99.85","126,086"
05/16/2025,"105.70","106.70","103.40","103.40","169,721"
05/15/2025,"105.40","106.10","105.00","105.60","104,145"
05/14/2025,"107.00","107.50","104.90","105.80","65,189"
