Date,Transaction Description,Category,Amount,Balance,Transaction Type,Payment Method,Merchant Category Code,Location,Account Number,Transaction ID,Currency,Notes,Category Confidence Score
2023-06-12 12:21:57.958751,Whole Foods,Groceries,-25.38,4974.62,debit,Check,,Boston,XXXX-XXXX-XXXX-1234,T10000,USD,,0.95
2023-06-12 12:21:57.958751,City Electric,Utilities,-82.45,4892.17,debit,Online Transfer,,Chicago,XXXX-XXXX-XXXX-1234,T10001,USD,,0.83
2023-06-12 12:21:57.958751,Whole Foods,Groceries,58.81,4950.98,credit,Online Transfer,,Houston,XXXX-XXXX-XXXX-1234,T10002,EUR,,0.98
2023-06-13 12:21:57.958751,Target,Shopping,-71.04,4879.94,debit,Cash,,San Francisco,XXXX-XXXX-XXXX-1234,T10003,USD,,0.83
2023-06-13 12:21:57.958751,Best Buy,Electronics,211.15,5091.09,credit,Debit Card,,Chicago,XXXX-XXXX-XXXX-1234,T10004,EUR,,0.86
2023-06-13 12:21:57.958751,Netflix,Entertainment,-20.22,5070.87,debit,Online Transfer,,San Francisco,XXXX-XXXX-XXXX-1234,T10005,USD,,0.94
2023-06-14 12:21:57.958751,Walmart,Groceries,52.23,5123.1,credit,Cash,,Atlanta,XXXX-XXXX-XXXX-1234,T10006,USD,,0.87
2023-06-15 12:21:57.958751,City Electric,Utilities,-71.7,5051.4,debit,Cash,,Miami,XXXX-XXXX-XXXX-1234,T10007,USD,,0.99
2023-06-16 12:21:57.958751,Apple Store,Electronics,-416.99,4634.41,debit,Check,,Seattle,XXXX-XXXX-XXXX-1234,T10008,USD,,0.9
2023-06-16 12:21:57.958751,Costco,Groceries,-14.41,4620.0,debit,Check,,New York,XXXX-XXXX-XXXX-1234,T10009,GBP,,0.86
2023-06-16 12:21:57.958751,Water Utility,Utilities,-5.56,4614.44,debit,Cash,,Atlanta,XXXX-XXXX-XXXX-1234,T10010,USD,,0.71
2023-06-16 12:21:57.958751,CVS Pharmacy,Health,-48.71,4565.73,debit,Check,,Atlanta,XXXX-XXXX-XXXX-1234,T10011,EUR,,0.82
2023-06-17 12:21:57.958751,Target,Shopping,194.61,4760.34,transfer,Online Transfer,,Seattle,XXXX-XXXX-XXXX-1234,T10012,EUR,,0.79
